GeNeG_resource,GeNeG_resource_alias,Wikidata_resource,Wikidata_alias,Wikidata_label
http://geneg.net/resource/Ör,ÖR,https://www.wikidata.org/wiki/Q1303905,"('R.', 100)",Rab
http://geneg.net/resource/Game,GAME,https://www.wikidata.org/wiki/Q189936,"('Game', 100)",The_Game
http://geneg.net/resource/Coronakrise,Corona Krise,https://www.wikidata.org/wiki/Q81068910,"('Corona-Krise', 100)",COVID-19-Pandemie
http://geneg.net/resource/Grünenpolitiker,Grünenpolitiker,https://www.wikidata.org/wiki/Q49766,"('Grünen-Politiker', 97)",Bündnis_90/Die_Grünen
http://geneg.net/resource/Tagesanzeigers,Tagesanzeigers,https://www.wikidata.org/wiki/Q677683,"('Tagesanzeiger', 96)",Tages-Anzeiger
http://geneg.net/resource/Qassem_Soleimanis,Qassem Soleimanis,https://www.wikidata.org/wiki/Q892014,"('Qassem Soleimani', 97)",Qassem_Suleimani
http://geneg.net/resource/Zionist_Occupational_Government,Zionist Occupational Government,https://www.wikidata.org/wiki/Q205364,"('Zionist Occupation Government', 97)",Zionist_Occupied_Government
http://geneg.net/resource/E,E..,https://www.wikidata.org/wiki/Q2691960,"('E.', 100)",Elfmeterschießen
http://geneg.net/resource/Dönermorden,Döner-Morden,https://www.wikidata.org/wiki/Q369336,"('Döner-Morde', 95)",Ceska-Mordserie
http://geneg.net/resource/Deutschlandweit,Deutschlandweit,https://www.wikidata.org/wiki/Q183,"('deutschlandweit', 100)",Deutschland
http://geneg.net/resource/Starbucks-Coffee,Starbucks-Coffee,https://www.wikidata.org/wiki/Q37158,"('Starbucks Coffee', 100)",Starbucks
http://geneg.net/resource/Bayrischen_Rundfunk,Bayrischen Rundfunk,https://www.wikidata.org/wiki/Q278637,"('Bayerischen Rundfunk', 97)",Bayerischer_Rundfunk
http://geneg.net/resource/Spon,Spon,https://www.wikidata.org/wiki/Q278151,"('SPON', 100)",Der_Spiegel
http://geneg.net/resource/Ksta,KSTA,https://www.wikidata.org/wiki/Q462023,"('KStA', 100)",Kölner_Stadt-Anzeiger
http://geneg.net/resource/Uno_Generalversammlung,UNO Generalversammlung,https://www.wikidata.org/wiki/Q47423,"('UNO-Generalversammlung', 100)",Generalversammlung_Der_Vereinten_Nationen
http://geneg.net/resource/Internationalen_Kommunistischen_Liga,Internationalen Kommunistischen Liga,https://www.wikidata.org/wiki/Q206682,"('Internationale Kommunistische Liga', 97)",Vierte_Internationale
http://geneg.net/resource/Holocaust-Leugners,Holocaust-Leugners,https://www.wikidata.org/wiki/Q151296,"('Holocaust-Leugner', 97)",Holocaustleugnung
http://geneg.net/resource/Kyffhäusergebirges,Kyffhäusergebirges,https://www.wikidata.org/wiki/Q682596,"('Kyffhäusergebirge', 97)",Kyffhäuser
http://geneg.net/resource/Ab,ab,https://www.wikidata.org/wiki/Q1765120,"('AB', 100)",Bachelor_of_Arts
http://geneg.net/resource/Nürnberger_Rassegesetze,Nürnberger ‚Rassegesetze,https://www.wikidata.org/wiki/Q27906,"('Nürnberger Rassegesetze', 100)",Nürnberger_Gesetze
http://geneg.net/resource/Covid-19_Virus,Covid-19 Virus,https://www.wikidata.org/wiki/Q82069695,"('COVID-19 virus', 100)",SARS-CoV-2
http://geneg.net/resource/Günther_Walraff,Günter Walraff,https://www.wikidata.org/wiki/Q76529,"('Günter Wallraff', 96)",Günter_Wallraff
http://geneg.net/resource/Fujimori,Fujimori-,https://www.wikidata.org/wiki/Q133040,"('Fujimori', 100)",Alberto_Fujimori
http://geneg.net/resource/Us-Geheimdienst,US-Geheimdienstes,https://www.wikidata.org/wiki/Q786878,"('US-Geheimdienste', 97)",United_States_Intelligence_Community
http://geneg.net/resource/Who,Who?,https://www.wikidata.org/wiki/Q7817,"('WHO', 100)",Weltgesundheitsorganisation
http://geneg.net/resource/Sabrata,sabrata,https://www.wikidata.org/wiki/Q15052130,"('Sabrata', 100)",Sabratha
http://geneg.net/resource/Ford-Werks,Ford-Werk,https://www.wikidata.org/wiki/Q571943,"('Ford-Werke', 95)",Ford_Deutschland
http://geneg.net/resource/Snowden_Leaks,Snowden Leaks,https://www.wikidata.org/wiki/Q13644106,"('Snowden-Leaks', 100)",Globale_Überwachungs-_Und_Spionageaffäre
http://geneg.net/resource/Westlichen,Westlichen,https://www.wikidata.org/wiki/Q1074982,"('Westliche', 95)",Westlicher_Baray
http://geneg.net/resource/Ard-Faktenfinders,ARD-Faktenfinders,https://www.wikidata.org/wiki/Q1409067,"('ARD-Faktenfinder', 97)",tagesschau.de
http://geneg.net/resource/Arabischem_Frühling,Arabischem Frühling,https://www.wikidata.org/wiki/Q33761,"('arabische Frühling', 97)",Arabischer_Frühling
http://geneg.net/resource/Schengen-Visums,Schengen-Visums,https://www.wikidata.org/wiki/Q170404,"('Schengen-Visum', 97)",Visum
http://geneg.net/resource/Haftar,haftar,https://www.wikidata.org/wiki/Q2298768,"('Haftar', 100)",Chalifa_Haftar
http://geneg.net/resource/Ukip,Ukip,https://www.wikidata.org/wiki/Q10647,"('UKIP', 100)",UK_Independence_Party
http://geneg.net/resource/Manifestes,Manifests,https://www.wikidata.org/wiki/Q46337,"('manifestos', 95)",Manifest
http://geneg.net/resource/Koban,Koban,https://www.wikidata.org/wiki/Q126415,"('Kobanî', 100)",Ain_Al-Arab
http://geneg.net/resource/Gene_Sharpes,Gene Sharps,https://www.wikidata.org/wiki/Q263681,"('Gene Sharp', 95)",Gene_Sharp
http://geneg.net/resource/Al_Sisi,al Sisi,https://www.wikidata.org/wiki/Q307871,"('Al Sisi', 100)",Abd_Al-Fattah_as-Sisi
http://geneg.net/resource/Hezsbollah,Hezsbollah,https://www.wikidata.org/wiki/Q41053,"('Hezbollah', 95)",Hisbollah
http://geneg.net/resource/Joh,joh,https://www.wikidata.org/wiki/Q5951723,"('JOH', 100)",Juan_Orlando_Hernández
http://geneg.net/resource/Álavaro_Uribe,Álavaro Uribe,https://www.wikidata.org/wiki/Q187413,"('Álvaro Uribe', 96)",Álvaro_Uribe_Vélez
http://geneg.net/resource/BND,bnd,https://www.wikidata.org/wiki/Q272969,"('BND', 100)",Bundesnachrichtendienst
http://geneg.net/resource/Deutschen_Bruderkrieg,deutschen Bruderkrieg,https://www.wikidata.org/wiki/Q153650,"('Deutscher Bruderkrieg', 95)",Deutscher_Krieg
http://geneg.net/resource/Eu-Gipfels,EU-Gipfels,https://www.wikidata.org/wiki/Q8886,"('EU-Gipfel', 95)",Europäischer_Rat
http://geneg.net/resource/Pro,pro,https://www.wikidata.org/wiki/Q484583,"('Pro', 100)",DL-Prolin
http://geneg.net/resource/Tüv,TÜV-,https://www.wikidata.org/wiki/Q672,"('tv', 100)",Tuvalu
http://geneg.net/resource/Eugh,EUGH,https://www.wikidata.org/wiki/Q1518827,"('Eugh', 100)",Europäischer_Gerichtshof
http://geneg.net/resource/Oecd-Länder,OECD-Länder,https://www.wikidata.org/wiki/Q41550,"('OECD-Ländern', 95)",Oecd
http://geneg.net/resource/Rot-Rot-Grüne,Rot-Rot-Grüne,https://www.wikidata.org/wiki/Q2167999,"('Rot-Rot-Grün', 96)",Rot-Rot-Grüne_Koalition
http://geneg.net/resource/Poroschenkos,Poroschenkos,https://www.wikidata.org/wiki/Q58077,"('Poroschenko', 96)",Petro_Poroschenko
http://geneg.net/resource/Dashnaksutyun,Dashnaksutyun,https://www.wikidata.org/wiki/Q318657,"('Dashnaktsutyun', 96)",Armenische_Revolutionäre_Föderation
http://geneg.net/resource/Grönemeyers,Grönemeyers,https://www.wikidata.org/wiki/Q275247,"('Grönemeyer', 95)",Herbert_Grönemeyer
http://geneg.net/resource/Class,CLASS,https://www.wikidata.org/wiki/Q37517,"('class', 100)",Klasse
http://geneg.net/resource/Tomá_G_Masaryk,Tomá G. Masaryk,https://www.wikidata.org/wiki/Q78492,"('Tomáš G. Masaryk', 96)",Tomáš_Garrigue_Masaryk
http://geneg.net/resource/Andreas_T,Andreas T.,https://www.wikidata.org/wiki/Q43399,"('St. Andreas', 95)",Andreas
http://geneg.net/resource/Maidan,Maidan-,https://www.wikidata.org/wiki/Q15224558,"('Maidan', 100)",Euromaidan
http://geneg.net/resource/Gaddafi,gaddafi,https://www.wikidata.org/wiki/Q19878,"('Gaddafi', 100)",Muammar_Al-Gaddafi
http://geneg.net/resource/DDR-Bürgerrechtlern,DDR-Bürgerrechtlern,https://www.wikidata.org/wiki/Q2027189,"('DDR-Bürgerrechtler', 97)",Opposition_Und_Widerstand_in_Der_DDR
http://geneg.net/resource/Internationalen_Organisation_Für_Migration_Iom,Internationalen Organisation für Migration IOM,https://www.wikidata.org/wiki/Q472311,"('Internationalen Organisation \u200efür Migration', 95)",Internationale_Organisation_Für_Migration
http://geneg.net/resource/Ag_Sulzberger,A.G. Sulzberger,https://www.wikidata.org/wiki/Q24743245,"('A. G. Sulzberger', 100)",Arthur_Gregg_Sulzberger
http://geneg.net/resource/Erdogan,erdogan,https://www.wikidata.org/wiki/Q39259,"('Erdogan', 100)",Recep_Tayyip_Erdoğan
http://geneg.net/resource/Pew,Pew,https://www.wikidata.org/wiki/Q1635722,"('PEW', 100)",Pew_Research_Center
http://geneg.net/resource/Afghanistan-Einsatzes,Afghanistan-Einsatzes,https://www.wikidata.org/wiki/Q182865,"('Afghanistan-Einsatz', 95)",Krieg_in_Afghanistan_Seit_2001
http://geneg.net/resource/Dielinke,@dieLinke,https://www.wikidata.org/wiki/Q49764,"('Die\xa0Linke', 100)",Die_Linke
http://geneg.net/resource/Insa-Conulere,INSA-Conulere,https://www.wikidata.org/wiki/Q28195985,"('INSA-Consulere', 96)",Institut_Für_Neue_Soziale_Antworten
http://geneg.net/resource/Minusma,Minusma,https://www.wikidata.org/wiki/Q12525579,"('MINUSMA', 100)",United_Nations_Multidimensional_Integrated_Stabilization_Mission_in_Mali
http://geneg.net/resource/Occupy,Occupy-,https://www.wikidata.org/wiki/Q939103,"('Occupy', 100)",Occupy-Bewegung
http://geneg.net/resource/achgut.com,achgut.com,https://www.wikidata.org/wiki/Q1210908,"('Achgut.com', 100)",Die_Achse_Des_Guten
http://geneg.net/resource/Campact_Blog,Campact Blog,https://www.wikidata.org/wiki/Q1030068,"('Campact (blog)', 100)",Campact
http://geneg.net/resource/Facebook-Seite,Facebookseite,https://www.wikidata.org/wiki/Q355,"('Facebook-Seite', 96)",Facebook
http://geneg.net/resource/Instagram-Accounts,Instagram-Accounts,https://www.wikidata.org/wiki/Q209330,"('Instagram-Account', 97)",Instagram
http://geneg.net/resource/11,/11,https://www.wikidata.org/wiki/Q9026,"('11', 100)",Bundesautobahn_11
http://geneg.net/resource/Samariters,Samariters,https://www.wikidata.org/wiki/Q182651,"('Samariter', 95)",Samaritaner
http://geneg.net/resource/Nato-Generalsekretärs,Nato-Generalsekretär,https://www.wikidata.org/wiki/Q7184,"('NATO-Generalsekretär', 100)",Nato
http://geneg.net/resource/Steven_Bannon,Steven Bannon,https://www.wikidata.org/wiki/Q16146870,"('Steve Bannon', 96)",Stephen_Bannon
http://geneg.net/resource/Eu-Europäer,EU-Europäern,https://www.wikidata.org/wiki/Q394067,"('EU-)Europäer', 95)",Europäer
http://geneg.net/resource/Koch-Brüder,Koch-Brüder,https://www.wikidata.org/wiki/Q1496384,"('Koch-Brüdern', 95)",Koch_Industries
http://geneg.net/resource/Konstantin,KONSTANTIN,https://www.wikidata.org/wiki/Q8413,"('Konstantin', 100)",Konstantin_Der_Große
http://geneg.net/resource/Karin_Göring-Eckhart,Karin Göring-Eckhart,https://www.wikidata.org/wiki/Q48967,"('Katrin Göring Eckhardt', 95)",Katrin_Göring-Eckardt
http://geneg.net/resource/Ülkücü-Bewegung,Ülkücü“-Bewegung,https://www.wikidata.org/wiki/Q1142831,"('Ülkücü-Bewegung', 100)",Graue_Wölfe
http://geneg.net/resource/Ipcc,ipcc,https://www.wikidata.org/wiki/Q171183,"('IPCC', 100)",Intergovernmental_Panel_on_Climate_Change
http://geneg.net/resource/Al-Hasakah,al-Hasakah,https://www.wikidata.org/wiki/Q233914,"('Al-Hasaka', 95)",Gouvernement_Al-Hasaka
http://geneg.net/resource/Hartz-Iv-Empfängerin,Hartz-IV-Empfängern,https://www.wikidata.org/wiki/Q628569,"('Hartz-IV-Empfänger', 97)",Arbeitslosengeld_II
http://geneg.net/resource/Steve_Bannons,Steve Bannons,https://www.wikidata.org/wiki/Q16146870,"('Steve Bannon', 96)",Stephen_Bannon
http://geneg.net/resource/Hc_Strache,hc strache,https://www.wikidata.org/wiki/Q44733,"('HC Strache', 100)",Heinz-Christian_Strache
http://geneg.net/resource/Putin_Wladimir,"Putin, Wladimir",https://www.wikidata.org/wiki/Q7747,"('Wladimir Putin', 100)",Wladimir_Wladimirowitsch_Putin
http://geneg.net/resource/Thüringer_Heimatschutzes,Thüringer Heimatschutzes,https://www.wikidata.org/wiki/Q1968356,"('Thüringer Heimatschutz', 95)",Nationales_Und_Soziales_Aktionsbündnis_Mitteldeutschland
http://geneg.net/resource/SPD-Politikerin,SPD-Politikern,https://www.wikidata.org/wiki/Q49768,"('SPD-Politiker', 96)",Sozialdemokratische_Partei_Deutschlands
http://geneg.net/resource/West-Ost-Konflikt,West-Ost-Konflikt,https://www.wikidata.org/wiki/Q8683,"('Ost-West-Konflikt', 100)",Kalter_Krieg
http://geneg.net/resource/Internationalen_Frauenkampftag,Internationalen Frauenkampftag,https://www.wikidata.org/wiki/Q38964,"('Internationaler Frauenkampftag', 97)",Internationaler_Frauentag
http://geneg.net/resource/Unasur,Unasur,https://www.wikidata.org/wiki/Q4230,"('UNASUR', 100)",Union_Südamerikanischer_Nationen
http://geneg.net/resource/Eu-Parlamentes,EU Parlaments,https://www.wikidata.org/wiki/Q8889,"('EU-Parlament', 96)",Europäisches_Parlament
http://geneg.net/resource/Right,Right,https://www.wikidata.org/wiki/Q76074,"('right', 100)",Politische_Rechte
http://geneg.net/resource/Mh17,MH17.,https://www.wikidata.org/wiki/Q17374096,"('MH17', 100)",Malaysia-Airlines-Flug_17
http://geneg.net/resource/Uno-Generalskretär,UNO-Generalskretär,https://www.wikidata.org/wiki/Q81066,"('UNO-Generalsekretär', 97)",Generalsekretär_Der_Vereinten_Nationen
http://geneg.net/resource/GDP,GdP.,https://www.wikidata.org/wiki/Q422582,"('GDP', 100)",Guanosindiphosphat
http://geneg.net/resource/Geschichte,US-)Geschichte,https://www.wikidata.org/wiki/Q131110,"('US-Geschichte', 100)",Geschichte_Der_Vereinigten_Staaten
http://geneg.net/resource/Jm,JM,https://www.wikidata.org/wiki/Q766,"('jm', 100)",Jamaika
http://geneg.net/resource/Laschet,Laschet“–,https://www.wikidata.org/wiki/Q30330413,"('Laschet', 100)",Kabinett_Laschet
