GeNeG_resource,Wikidata_resource,Matched_label
http://geneg.net/resource/Osteuropa,https://www.wikidata.org/wiki/Q27468,Osteuropa
http://geneg.net/resource/Zwickel,https://www.wikidata.org/wiki/Q244556,Zwickel
http://geneg.net/resource/Hanau,https://www.wikidata.org/wiki/Q3802,Hanau
http://geneg.net/resource/Agnieszka_Brugger,https://www.wikidata.org/wiki/Q109309,Agnieszka_Brugger
http://geneg.net/resource/Kasper_König,https://www.wikidata.org/wiki/Q1604450,Kasper_König
http://geneg.net/resource/Wolfgang_Hübner,https://www.wikidata.org/wiki/Q1710468,Wolfgang_Hübner
http://geneg.net/resource/Renate_Künast,https://www.wikidata.org/wiki/Q65128,Renate_Künast
http://geneg.net/resource/Alt-Right,https://www.wikidata.org/wiki/Q23018230,Alt-Right
http://geneg.net/resource/Alan_Kurdi,https://www.wikidata.org/wiki/Q20900441,Alan_Kurdi
http://geneg.net/resource/Jean-Yves_Le_Drian,https://www.wikidata.org/wiki/Q559040,Jean-Yves_Le_Drian
http://geneg.net/resource/Oktoberfest,https://www.wikidata.org/wiki/Q102400,Oktoberfest
http://geneg.net/resource/Boris_Johnson,https://www.wikidata.org/wiki/Q180589,Boris_Johnson
http://geneg.net/resource/Europäer,https://www.wikidata.org/wiki/Q394067,Europäer
http://geneg.net/resource/Costa_Rica,https://www.wikidata.org/wiki/Q800,Costa_Rica
http://geneg.net/resource/Aref_Ali_Nayed,https://www.wikidata.org/wiki/Q278732,Aref_Ali_Nayed
http://geneg.net/resource/Istanbul,https://www.wikidata.org/wiki/Q406,Istanbul
http://geneg.net/resource/Santa_Fe,https://www.wikidata.org/wiki/Q38555,Santa_Fe
http://geneg.net/resource/Bamberg,https://www.wikidata.org/wiki/Q3936,Bamberg
http://geneg.net/resource/Tichys_Einblick,https://www.wikidata.org/wiki/Q27902651,Tichys_Einblick
http://geneg.net/resource/Pirna,https://www.wikidata.org/wiki/Q6477,Pirna
http://geneg.net/resource/Niall_Ferguson,https://www.wikidata.org/wiki/Q377638,Niall_Ferguson
http://geneg.net/resource/Amsterdam,https://www.wikidata.org/wiki/Q727,Amsterdam
http://geneg.net/resource/Stuttgart_21,https://www.wikidata.org/wiki/Q700996,Stuttgart_21
http://geneg.net/resource/Ellis_Island,https://www.wikidata.org/wiki/Q202175,Ellis_Island
http://geneg.net/resource/Libyen,https://www.wikidata.org/wiki/Q1016,Libyen
