GeNeG_resource,other_GeNeG_resource_w_alias_len,Matching node,Matched_label
http://geneg.net/resource/Mittelbayerische_Zeitung,"[('http://geneg.net/resource/Mittelbayerischen_Zeitung', 1)]",http://geneg.net/resource/Mittelbayerischen_Zeitung,Mittelbayerischen_Zeitung
http://geneg.net/resource/Sebastián_Piñeras,"[('http://geneg.net/resource/Piñera_Sebastián', 1)]",http://geneg.net/resource/Piñera_Sebastián,Piñera_Sebastián
http://geneg.net/resource/Ludwig_Von_Mises-Institut,"[('http://geneg.net/resource/Ludwig_Von_Mises_Institut', 1)]",http://geneg.net/resource/Ludwig_Von_Mises_Institut,Ludwig_Von_Mises_Institut
http://geneg.net/resource/Ard-Oberen,"[('http://geneg.net/resource/Ard-Obere', 1)]",http://geneg.net/resource/Ard-Obere,Ard-Obere
http://geneg.net/resource/Mission_Lifeline-Kapitän,"[('http://geneg.net/resource/Mission-Lifeline-Kapitän', 1)]",http://geneg.net/resource/Mission-Lifeline-Kapitän,Mission-Lifeline-Kapitän
http://geneg.net/resource/Facebookprofile,"[('http://geneg.net/resource/Facebook-Profile', 1)]",http://geneg.net/resource/Facebook-Profile,Facebook-Profile
http://geneg.net/resource/Sea-Watch-3kapitänin,"[('http://geneg.net/resource/Sea-Watch-3-Kapitänin', 2)]",http://geneg.net/resource/Sea-Watch-3-Kapitänin,Sea-Watch-3-Kapitänin
http://geneg.net/resource/Haft-Tapeh,"[('http://geneg.net/resource/Haft_Tapeh', 1)]",http://geneg.net/resource/Haft_Tapeh,Haft_Tapeh
http://geneg.net/resource/Goldsmith_Universität,"[('http://geneg.net/resource/Goldsmith-Universität', 1)]",http://geneg.net/resource/Goldsmith-Universität,Goldsmith-Universität
http://geneg.net/resource/We_Don_́t_Have_Time,"[(""http://geneg.net/resource/We_Don't_Have_Time"", 1)]",http://geneg.net/resource/We_Don't_Have_Time,We_Don't_Have_Time
http://geneg.net/resource/Victor_Orbans,"[('http://geneg.net/resource/Victor_Orban', 2)]",http://geneg.net/resource/Victor_Orban,Victor_Orban
http://geneg.net/resource/Balkanroute,"[('http://geneg.net/resource/Balkan-Route', 1)]",http://geneg.net/resource/Balkan-Route,Balkan-Route
http://geneg.net/resource/Voltairenet.org,"[('http://geneg.net/resource/voltairenet.org', 1)]",http://geneg.net/resource/voltairenet.org,voltairenet.org
http://geneg.net/resource/SPD-Europaabgeordnete,"[('http://geneg.net/resource/Pd-Europaabgeordnete', 1)]",http://geneg.net/resource/Pd-Europaabgeordnete,Pd-Europaabgeordnete
