GeNeG_resource,GeNeG_resource_alias,Wikidata_resource_w_alias_len,Matching node,Matched_alias
http://geneg.net/resource/Byzanz,byzanz,"[('https://www.wikidata.org/wiki/Q12544', 11), ('https://www.wikidata.org/wiki/Q406', 5)]",https://www.wikidata.org/wiki/Q12544,"('Byzanz', 100)"
http://geneg.net/resource/Landsbergs,Landsbergs,"[('https://www.wikidata.org/wiki/Q10507', 7), ('https://www.wikidata.org/wiki/Q494299', 5)]",https://www.wikidata.org/wiki/Q10507,"('Landsberg', 95)"
http://geneg.net/resource/Bosnien_Herzegowina,bosnien-herzegowina,"[('https://www.wikidata.org/wiki/Q208545', 11), ('https://www.wikidata.org/wiki/Q181190', 6), ('https://www.wikidata.org/wiki/Q225', 13)]",https://www.wikidata.org/wiki/Q225,"('Bosnien-Herzegowina', 100)"
http://geneg.net/resource/The_Netherlands,The Netherlands,"[('https://www.wikidata.org/wiki/Q55', 16), ('https://www.wikidata.org/wiki/Q29999', 6)]",https://www.wikidata.org/wiki/Q55,"('the Netherlands', 100)"
http://geneg.net/resource/Aoc,@AOC,"[('https://www.wikidata.org/wiki/Q1565828', 2), ('https://www.wikidata.org/wiki/Q55223040', 9)]",https://www.wikidata.org/wiki/Q55223040,"('AOC', 100)"
http://geneg.net/resource/Transparency_International_Deutschland_Ev,Transparency International Deutschland e.V.,"[('https://www.wikidata.org/wiki/Q56683618', 1), ('https://www.wikidata.org/wiki/Q174240', 3)]",https://www.wikidata.org/wiki/Q174240,"('Transparency International Deutschland', 95)"
http://geneg.net/resource/Más,más,"[('https://www.wikidata.org/wiki/Q1494', 6), ('https://www.wikidata.org/wiki/Q2283', 6)]",https://www.wikidata.org/wiki/Q1494,"('MS', 100)"
http://geneg.net/resource/Valetta,VALETTA,"[('https://www.wikidata.org/wiki/Q23800', 14), ('https://www.wikidata.org/wiki/Q3556953', 1)]",https://www.wikidata.org/wiki/Q23800,"('Valetta', 100)"
http://geneg.net/resource/Akk,Akk,"[('https://www.wikidata.org/wiki/Q570211', 1), ('https://www.wikidata.org/wiki/Q71359', 9)]",https://www.wikidata.org/wiki/Q71359,"('AKK', 100)"
http://geneg.net/resource/Corona,Corona-,"[('https://www.wikidata.org/wiki/Q282784', 1), ('https://www.wikidata.org/wiki/Q81068910', 42), ('https://www.wikidata.org/wiki/Q83889294', 14), ('https://www.wikidata.org/wiki/Q864987', 4), ('https://www.wikidata.org/wiki/Q82069695', 32), ('https://www.wikidata.org/wiki/Q494707', 3), ('https://www.wikidata.org/wiki/Q16666017', 8)]",https://www.wikidata.org/wiki/Q81068910,"('Corona', 100)"
