GeNeG_resource,GeNeG_resource_alias,other_GeNeG_resource_w_alias_len,Matching node,Matched_alias
http://geneg.net/resource/Andrés_Lopez_Obrador,Andrés López Obrador,"[('http://geneg.net/resource/Andrés_M_López_Obrador', 2)]",http://geneg.net/resource/Andrés_M_López_Obrador,"('Andrés M. López-Obrador', 95)"
http://geneg.net/resource/Us-Konzern,US-Konzern,"[('http://geneg.net/resource/Us-Konzernen', 2)]",http://geneg.net/resource/Us-Konzernen,"('US-Konzerne', 95)"
http://geneg.net/resource/Europarechtlich,europarechtlich,"[('http://geneg.net/resource/Europarechtlichen', 2)]",http://geneg.net/resource/Europarechtlichen,"('europarechtliche', 97)"
http://geneg.net/resource/https://twitter.com/LibyaReview,https://twitter.com/LibyaReview,"[('http://geneg.net/resource/Us-$Https_//Twittercom/libyareview', 1)]",http://geneg.net/resource/Us-$Https_//Twittercom/libyareview,"('US-$.https://twitter.com/LibyaReview', 95)"
http://geneg.net/resource/Csu-Politikers,CSU-Politiker,"[('http://geneg.net/resource/Csu-Politikerin', 2)]",http://geneg.net/resource/Csu-Politikerin,"('CSU-Politikern', 96)"
http://geneg.net/resource/Grünen-Politikern,Grünen-Politikerin,"[('http://geneg.net/resource/Grünenpolitikerin', 1)]",http://geneg.net/resource/Grünenpolitikerin,"('Grünenpolitikerin', 97)"
http://geneg.net/resource/Afd-Funktionären,AfD-Funktionäre,"[('http://geneg.net/resource/Afd-Funktionär', 1)]",http://geneg.net/resource/Afd-Funktionär,"('AfD-Funktionär', 96)"
http://geneg.net/resource/H&m,H&M,"[('http://geneg.net/resource/Mh', 1)]",http://geneg.net/resource/Mh,"('M.H.', 100)"
http://geneg.net/resource/Csu-Bundestagsabgeordneten,CSU-Bundestagsabgeordneten,"[('http://geneg.net/resource/Cdu-Bundestagsabgeordnete', 3)]",http://geneg.net/resource/Cdu-Bundestagsabgeordnete,"('CDU-Bundestagsabgeordneten', 96)"
http://geneg.net/resource/Tagesspiegelde/Politik/49-Millionen-Euro-Fuer-Assad-Gegner-Bundesregierung-Hilft-Idlib-Rebellen-in-Syrien/23247768html,tagesspiegel.de/politik/49-millionen-euro-fuer-assad-gegner-bundesregierung-hilft-idlib-rebellen-in-syrien/23247768.html,"[('http://geneg.net/resource/https://www.tagesspiegel.de/politik/49-millionen-euro-fuer-assad-gegner-bundesregierung-hilft-idlib-rebellen-in-syrien/23247768.html', 1)]",http://geneg.net/resource/https://www.tagesspiegel.de/politik/49-millionen-euro-fuer-assad-gegner-bundesregierung-hilft-idlib-rebellen-in-syrien/23247768.html,"('https://www.tagesspiegel.de/politik/49-millionen-euro-fuer-assad-gegner-bundesregierung-hilft-idlib-rebellen-in-syrien/23247768.html', 96)"
http://geneg.net/resource/Palästinenserstaat,Palästinenser-Staat,"[('http://geneg.net/resource/Palästinenser-Staates', 1)]",http://geneg.net/resource/Palästinenser-Staates,"('Palästinenser-Staates', 95)"
http://geneg.net/resource/https://www.heise.de/tp/features/Wie-die-syrische-Zivilbevoelkerung-unter-den-EU-Sanktionen-leidet-3695626.html?seite=all,https://www.heise.de/tp/features/Wie-die-syrische-Zivilbevoelkerung-unter-den-EU-Sanktionen-leidet-3695626.html?seite=all,"[('http://geneg.net/resource/Heisede/Tp/Features/Wie-Die-Syrische-Zivilbevoelkerung-Unter-Den-Eu-Sanktionen-Leidet-3695626html_Seite=all', 1)]",http://geneg.net/resource/Heisede/Tp/Features/Wie-Die-Syrische-Zivilbevoelkerung-Unter-Den-Eu-Sanktionen-Leidet-3695626html_Seite=all,"('heise.de/tp/features/Wie-die-syrische-Zivilbevoelkerung-unter-den-EU-Sanktionen-leidet-3695626.html?seite=all', 96)"
http://geneg.net/resource/Eu-Politiker,EU-Politiker,"[('http://geneg.net/resource/Eu-Politkern', 2)]",http://geneg.net/resource/Eu-Politkern,"('EU-Politikern', 96)"
http://geneg.net/resource/Europafeindlich,europafeindlich,"[('http://geneg.net/resource/Europafeindlicher', 3)]",http://geneg.net/resource/Europafeindlicher,"('europafeindliche', 97)"
http://geneg.net/resource/Pfeiffers,Pfeijffers,"[('http://geneg.net/resource/Pfeijffer', 1)]",http://geneg.net/resource/Pfeijffer,"('Pfeijffer', 95)"
http://geneg.net/resource/Ippen-Digital-Redaktionsnetzwerk,Ippen-Digital-Redaktionsnetzwerk,"[('http://geneg.net/resource/Ippen-Digital-Redaktionsnetwzerkes', 4)]",http://geneg.net/resource/Ippen-Digital-Redaktionsnetwzerkes,"('Ippen-Digital-Redaktionsnetzwerks', 98)"
http://geneg.net/resource/Jens_Stelbrink,Jens Stellbrink,"[('http://geneg.net/resource/Jens_Stellbrinks', 1)]",http://geneg.net/resource/Jens_Stellbrinks,"('Jens Stellbrinks', 97)"
http://geneg.net/resource/Brunschweigers,Brunschweiger,"[('http://geneg.net/resource/Brunnschweiger', 1)]",http://geneg.net/resource/Brunnschweiger,"('Brunnschweiger', 96)"
http://geneg.net/resource/Nato-Mitgliedstaaten,NATO-Mitgliedsstaaten,"[('http://geneg.net/resource/Nato-Mitgliedsstaat', 1)]",http://geneg.net/resource/Nato-Mitgliedsstaat,"('NATO-Mitgliedsstaat', 95)"
http://geneg.net/resource/Afd-Fraktionsvorsitzenden,AfD-Fraktionsvorsitzende,"[('http://geneg.net/resource/FDP-Fraktionsvorsitzende', 2)]",http://geneg.net/resource/FDP-Fraktionsvorsitzende,"('FDP-Fraktionsvorsitzende', 96)"
http://geneg.net/resource/Deutschlandweiten,deutschlandweiten,"[('http://geneg.net/resource/Deutschlandweit', 3)]",http://geneg.net/resource/Deutschlandweit,"('deutschlandweite', 97)"
http://geneg.net/resource/Is-Gefangener,IS-Gefangene,"[('http://geneg.net/resource/Is-Gefangenen', 1)]",http://geneg.net/resource/Is-Gefangenen,"('IS-Gefangenen', 96)"
http://geneg.net/resource/Charité_Physiotherapie-Und_Präventionszentrums,Charité Physiotherapie- und Präventionszentrum,"[('http://geneg.net/resource/Charité_Physiotherapie-Und_Präventionszentrum_GMBH', 1)]",http://geneg.net/resource/Charité_Physiotherapie-Und_Präventionszentrum_GMBH,"('Charité Physiotherapie- und Präventionszentrum GmbH', 95)"
http://geneg.net/resource/Ägäis-Inseln,Ägäis-Insel,"[('http://geneg.net/resource/Agäis-Insel', 1)]",http://geneg.net/resource/Agäis-Insel,"('Agäis-Insel', 95)"
http://geneg.net/resource/Eu-Kommissionschefs,EU-Kommissionschef,"[('http://geneg.net/resource/Eu-Kommissionschefin', 1)]",http://geneg.net/resource/Eu-Kommissionschefin,"('EU-Kommissionschefin', 95)"
http://geneg.net/resource/Us-Botschafterin,US-Botschafterin,"[('http://geneg.net/resource/Us-Botschafter', 5)]",http://geneg.net/resource/Us-Botschafter,"('US-Botschaftern', 97)"
http://geneg.net/resource/Us-Grenzen,US-Grenze,"[('http://geneg.net/resource/Us-Grenzer', 1)]",http://geneg.net/resource/Us-Grenzer,"('US-Grenzer', 95)"
http://geneg.net/resource/Uno-Nothilfebüros,Uno-Nothilfebüros,"[('http://geneg.net/resource/Un-Nothilfebüro', 2)]",http://geneg.net/resource/Un-Nothilfebüro,"('UN-Nothilfebüros', 97)"
http://geneg.net/resource/SPD-Vorsitzender,SPD-Vorsitzender,"[('http://geneg.net/resource/SPD-Vorsitzenden', 3)]",http://geneg.net/resource/SPD-Vorsitzenden,"('SPD-Vorsitzende', 97)"
http://geneg.net/resource/Corona-Protesten,Corona-Protesten,"[('http://geneg.net/resource/Coronaproteste', 2)]",http://geneg.net/resource/Coronaproteste,"('Corona-Proteste', 97)"
http://geneg.net/resource/Grünen-Wählern,Grünen-Wähler,"[('http://geneg.net/resource/Grüne-Wähler', 1)]",http://geneg.net/resource/Grüne-Wähler,"('Grüne-Wähler', 95)"
http://geneg.net/resource/Un-Flüchtlingshilfewerks,UN-Flüchtlingshilfewerks,"[('http://geneg.net/resource/Un-Flüchtlingshilfswerkes', 5)]",http://geneg.net/resource/Un-Flüchtlingshilfswerkes,"('UN-Flüchtlingshilfswerks', 96)"
http://geneg.net/resource/SPD-Minister,SPD-Minister,"[('http://geneg.net/resource/SPD-Ministerin', 2)]",http://geneg.net/resource/SPD-Ministerin,"('SPD-Ministern', 96)"
http://geneg.net/resource/Uno-Flüchtlingshilfswerk,Uno-Flüchtlingshilfswerk,"[('http://geneg.net/resource/Un-Flüchtlingshilfswerkes', 6)]",http://geneg.net/resource/Un-Flüchtlingshilfswerkes,"('Uno-Flüchtlingshilfswerks', 98)"
http://geneg.net/resource/Europastaatssekretär,Europa-Staatssekretär,"[('http://geneg.net/resource/Europa-Staatssekretärin', 1)]",http://geneg.net/resource/Europa-Staatssekretärin,"('Europa-Staatssekretärin', 95)"
http://geneg.net/resource/Pis-Vorsitzender,PiS-Vorsitzender,"[('http://geneg.net/resource/Pis-Vorsitzendem', 2)]",http://geneg.net/resource/Pis-Vorsitzendem,"('PiS-Vorsitzende', 97)"
http://geneg.net/resource/Spö-Vorsitzende,SPÖ-Vorsitzende,"[('http://geneg.net/resource/SPD-Vorsitzenden', 4)]",http://geneg.net/resource/SPD-Vorsitzenden,"('SPD-Vorsitzende', 97)"
